price,square,constructionTime,elevator,district
30625,80,2012,1,5
44147,113.26,2012,1,13
70381,67.49,2012,1,7
30034,89.9,2012,1,5
31275,89.53,2012,1,5
32734,169.55,2012,1,13
33110,78.83,2012,1,5
27500,60,2012,1,8
97597,47.44,2012,1,7
72162,458,2012,1,7
30291,118.85,2012,1,13
47567,80.94,2012,1,5
29892,46,2012,1,6
31066,93.35,2012,0,6
26611,61.63,2012,0,6
55703,56.55,2012,1,7
95048,105.21,2012,1,1
76179,111.58,2012,1,7
65385,39,2012,1,7
68182,66,2012,1,10
84897,162.55,2012,1,7
35088,57,2012,1,5
30494,81,2012,1,5
26572,70,2012,1,5
54598,87,2012,1,11
31649,94,2012,1,8
45067,77.22,2012,1,7
52680,88.27,2012,1,8
69584,240,2012,1,7
46880,125,2012,1,6
36667,90,2012,1,6
31852,81,2012,1,5
59588,97,2012,1,7
38090,89,2012,1,7
66736,68.03,2012,1,1
34720,89,2012,1,5
67500,100,2012,1,7
35870,92,2012,1,6
37215,133.82,2012,1,6
30803,81,2012,1,5
26500,60,2012,1,8
40113,89.25,2012,1,5
53031,66,2012,1,10
30706,78,2012,1,6
40541,111,2012,1,7
35803,162,2012,1,3
23693,87.79,2012,1,5
72875,247,2012,1,7
50241,89.57,2012,1,7
66227,53,2012,1,7
49389,151.25,2012,1,8
86816,201,2012,1,7
54391,41,2012,1,4
85357,398.33,2012,1,7
106655,66.57,2012,1,7
63774,53,2012,1,7
38119,52.73,2012,1,7
30959,81.4,2012,1,5
53815,97,2012,1,7
28989,89,2012,1,5
22229,88.85,2012,1,5
49190,37,2012,1,11
57955,88,2012,1,8
29877,81,2012,1,5
86227,179.76,2012,1,7
57500,240,2012,1,7
91091,275,2012,1,7
36551,89,2012,1,7
30924,118.52,2012,1,5
33319,90.04,2012,1,4
29492,118,2012,1,13
29275,60.49,2012,1,6
27363,91,2012,1,6
92585,113.41,2012,1,7
30546,55,2012,1,11
27467,75,2012,1,5
39440,125,2012,1,6
30225,89,2012,1,5
45000,70,2012,1,4
28572,70,2012,1,5
49359,78,2012,1,2
53913,63.9,2012,1,7
46945,36,2012,1,11
111047,86.45,2012,1,7
33989,110.33,2012,1,13
27934,75,2012,1,5
26316,91.2,2012,1,8
30618,81,2012,1,5
57979,94,2012,1,8
39028,144,2012,1,12
33708,89,2012,1,5
95057,110.04,2012,1,7
30391,85.06,2012,1,6
31550,84.63,2012,1,11
95000,110,2012,1,7
28814,118,2012,1,13
34866,89.2,2012,1,5
